WORDS,NEW_LABELS,"activity, animal, location, weather, human"
monitor,activity,http://wordnet-rdf.princeton.edu/wn30/03782006-n
moped,activity,http://wordnet-rdf.princeton.edu/wn30/03785016-n
mortar,activity,http://wordnet-rdf.princeton.edu/wn30/03786901-n
square academic cap,activity,http://wordnet-rdf.princeton.edu/wn30/03787032-n
mosque,location,http://wordnet-rdf.princeton.edu/wn30/03788195-n
mosquito net,activity,http://wordnet-rdf.princeton.edu/wn30/03788365-n
scooter,activity,http://wordnet-rdf.princeton.edu/wn30/03791053-n
mountain bike,activity,http://wordnet-rdf.princeton.edu/wn30/03792782-n
tent,location,http://wordnet-rdf.princeton.edu/wn30/03792972-n
computer mouse,activity,http://wordnet-rdf.princeton.edu/wn30/03793489-n
mousetrap,activity,http://wordnet-rdf.princeton.edu/wn30/03794056-n
moving van,location,http://wordnet-rdf.princeton.edu/wn30/03796401-n
muzzle,activity,http://wordnet-rdf.princeton.edu/wn30/03803284-n
nail,activity,http://wordnet-rdf.princeton.edu/wn30/03804744-n
neck brace,activity,http://wordnet-rdf.princeton.edu/wn30/03814639-n
necklace,activity,http://wordnet-rdf.princeton.edu/wn30/03814906-n
nipple,activity,http://wordnet-rdf.princeton.edu/wn30/03825788-n
notebook computer,activity,http://wordnet-rdf.princeton.edu/wn30/03832673-n
obelisk,location,http://wordnet-rdf.princeton.edu/wn30/03837869-n
oboe,activity,http://wordnet-rdf.princeton.edu/wn30/03838899-n
ocarina,activity,http://wordnet-rdf.princeton.edu/wn30/03840681-n
odometer,activity,http://wordnet-rdf.princeton.edu/wn30/03841143-n
oil filter,activity,http://wordnet-rdf.princeton.edu/wn30/03843555-n
organ,activity,http://wordnet-rdf.princeton.edu/wn30/03854065-n
oscilloscope,activity,http://wordnet-rdf.princeton.edu/wn30/03857828-n
overskirt,activity,http://wordnet-rdf.princeton.edu/wn30/03866082-n
bullock cart,activity,http://wordnet-rdf.princeton.edu/wn30/03868242-n
oxygen mask,activity,http://wordnet-rdf.princeton.edu/wn30/03868863-n
packet,activity,http://wordnet-rdf.princeton.edu/wn30/03871628-n
paddle,activity,http://wordnet-rdf.princeton.edu/wn30/03873416-n
paddle wheel,activity,http://wordnet-rdf.princeton.edu/wn30/03874293-n
padlock,activity,http://wordnet-rdf.princeton.edu/wn30/03874599-n
paintbrush,activity,http://wordnet-rdf.princeton.edu/wn30/03876231-n
pajamas,activity,http://wordnet-rdf.princeton.edu/wn30/03877472-n
palace,location,http://wordnet-rdf.princeton.edu/wn30/03877845-n
pan flute,activity,http://wordnet-rdf.princeton.edu/wn30/03884397-n
paper towel,activity,http://wordnet-rdf.princeton.edu/wn30/03887697-n
parachute,activity,http://wordnet-rdf.princeton.edu/wn30/03888257-n
parallel bars,location,http://wordnet-rdf.princeton.edu/wn30/03888605-n
park bench,location,http://wordnet-rdf.princeton.edu/wn30/03891251-n
parking meter,activity,http://wordnet-rdf.princeton.edu/wn30/03891332-n
passenger car,location,http://wordnet-rdf.princeton.edu/wn30/03895866-n
patio,location,http://wordnet-rdf.princeton.edu/wn30/03899768-n
payphone,activity,http://wordnet-rdf.princeton.edu/wn30/03902125-n
pedestal,location,http://wordnet-rdf.princeton.edu/wn30/03903868-n
pencil case,activity,http://wordnet-rdf.princeton.edu/wn30/03908618-n
pencil sharpener,activity,http://wordnet-rdf.princeton.edu/wn30/03908714-n
perfume,activity,http://wordnet-rdf.princeton.edu/wn30/03916031-n
Petri dish,activity,http://wordnet-rdf.princeton.edu/wn30/03920288-n
photocopier,activity,http://wordnet-rdf.princeton.edu/wn30/03924679-n
plectrum,activity,http://wordnet-rdf.princeton.edu/wn30/03929660-n
Pickelhaube,activity,http://wordnet-rdf.princeton.edu/wn30/03929855-n
picket fence,activity,http://wordnet-rdf.princeton.edu/wn30/03930313-n
pickup truck,activity,http://wordnet-rdf.princeton.edu/wn30/03930630-n
pier,activity,http://wordnet-rdf.princeton.edu/wn30/03933933-n
piggy bank,activity,http://wordnet-rdf.princeton.edu/wn30/03935335-n
pill bottle,activity,http://wordnet-rdf.princeton.edu/wn30/03937543-n
pillow,activity,http://wordnet-rdf.princeton.edu/wn30/03938244-n
ping-pong ball,activity,http://wordnet-rdf.princeton.edu/wn30/03942813-n
pinwheel,activity,http://wordnet-rdf.princeton.edu/wn30/03944341-n
pirate ship,location,http://wordnet-rdf.princeton.edu/wn30/03947888-n
pitcher,activity,http://wordnet-rdf.princeton.edu/wn30/03950228-n
hand plane,location,http://wordnet-rdf.princeton.edu/wn30/03954731-n
planetarium,location,http://wordnet-rdf.princeton.edu/wn30/03956157-n
plastic bag,activity,http://wordnet-rdf.princeton.edu/wn30/03958227-n
plate rack,activity,http://wordnet-rdf.princeton.edu/wn30/03961711-n
plow,activity,http://wordnet-rdf.princeton.edu/wn30/03967562-n
plunger,activity,http://wordnet-rdf.princeton.edu/wn30/03970156-n
Polaroid camera,activity,http://wordnet-rdf.princeton.edu/wn30/03976467-n
pole,activity,http://wordnet-rdf.princeton.edu/wn30/03976657-n
police van,activity,http://wordnet-rdf.princeton.edu/wn30/03977966-n
poncho,activity,http://wordnet-rdf.princeton.edu/wn30/03980874-n
billiard table,activity,http://wordnet-rdf.princeton.edu/wn30/03982430-n
soda bottle,activity,http://wordnet-rdf.princeton.edu/wn30/03983396-n
pot,activity,http://wordnet-rdf.princeton.edu/wn30/03991062-n
potter's wheel,activity,http://wordnet-rdf.princeton.edu/wn30/03992509-n
power drill,activity,http://wordnet-rdf.princeton.edu/wn30/03995372-n
prayer rug,activity,http://wordnet-rdf.princeton.edu/wn30/03998194-n
printer,activity,http://wordnet-rdf.princeton.edu/wn30/04004767-n
prison,location,http://wordnet-rdf.princeton.edu/wn30/04005630-n
projectile,activity,http://wordnet-rdf.princeton.edu/wn30/04008634-n
projector,activity,http://wordnet-rdf.princeton.edu/wn30/04009552-n
hockey puck,activity,http://wordnet-rdf.princeton.edu/wn30/04019541-n
punching bag,activity,http://wordnet-rdf.princeton.edu/wn30/04023962-n
purse,activity,http://wordnet-rdf.princeton.edu/wn30/04026417-n
quill,activity,http://wordnet-rdf.princeton.edu/wn30/04033901-n
quilt,activity,http://wordnet-rdf.princeton.edu/wn30/04033995-n
race car,activity,http://wordnet-rdf.princeton.edu/wn30/04037443-n
racket,activity,http://wordnet-rdf.princeton.edu/wn30/04039381-n
radiator,activity,http://wordnet-rdf.princeton.edu/wn30/04040759-n
radio,activity,http://wordnet-rdf.princeton.edu/wn30/04041544-n
radio telescope,activity,http://wordnet-rdf.princeton.edu/wn30/04044716-n
rain barrel,activity,http://wordnet-rdf.princeton.edu/wn30/04049303-n
recreational vehicle,activity,http://wordnet-rdf.princeton.edu/wn30/04065272-n
reel,activity,http://wordnet-rdf.princeton.edu/wn30/04067472-n
reflex camera,activity,http://wordnet-rdf.princeton.edu/wn30/04069434-n
refrigerator,activity,http://wordnet-rdf.princeton.edu/wn30/04070727-n
remote control,activity,http://wordnet-rdf.princeton.edu/wn30/04074963-n
restaurant,location,http://wordnet-rdf.princeton.edu/wn30/04081281-n
revolver,activity,http://wordnet-rdf.princeton.edu/wn30/04086273-n
rifle,activity,http://wordnet-rdf.princeton.edu/wn30/04090263-n
rocking chair,activity,http://wordnet-rdf.princeton.edu/wn30/04099969-n
rotisserie,activity,http://wordnet-rdf.princeton.edu/wn30/04111531-n
eraser,activity,http://wordnet-rdf.princeton.edu/wn30/04116512-n
rugby ball,activity,http://wordnet-rdf.princeton.edu/wn30/04118538-n
ruler,activity,http://wordnet-rdf.princeton.edu/wn30/04118776-n
running shoe,activity,http://wordnet-rdf.princeton.edu/wn30/04120489-n
safe,activity,http://wordnet-rdf.princeton.edu/wn30/04125021-n
safety pin,activity,http://wordnet-rdf.princeton.edu/wn30/04127249-n
salt shaker,activity,http://wordnet-rdf.princeton.edu/wn30/04131690-n
sandal,activity,http://wordnet-rdf.princeton.edu/wn30/04133789-n
sarong,activity,http://wordnet-rdf.princeton.edu/wn30/04136333-n
saxophone,activity,http://wordnet-rdf.princeton.edu/wn30/04141076-n
scabbard,activity,http://wordnet-rdf.princeton.edu/wn30/04141327-n
weighing scale,activity,http://wordnet-rdf.princeton.edu/wn30/04141975-n
school bus,activity,http://wordnet-rdf.princeton.edu/wn30/04146614-n
schooner,activity,http://wordnet-rdf.princeton.edu/wn30/04147183-n
scoreboard,activity,http://wordnet-rdf.princeton.edu/wn30/04149813-n
CRT screen,activity,http://wordnet-rdf.princeton.edu/wn30/04152593-n
screw,activity,http://wordnet-rdf.princeton.edu/wn30/04153751-n
screwdriver,activity,http://wordnet-rdf.princeton.edu/wn30/04154565-n
seat belt,activity,http://wordnet-rdf.princeton.edu/wn30/04162706-n
sewing machine,activity,http://wordnet-rdf.princeton.edu/wn30/04179913-n
shield,activity,http://wordnet-rdf.princeton.edu/wn30/04192698-n
shoe store,activity,http://wordnet-rdf.princeton.edu/wn30/04200800-n
shoji,activity,http://wordnet-rdf.princeton.edu/wn30/04201297-n
shopping basket,activity,http://wordnet-rdf.princeton.edu/wn30/04204238-n
shopping cart,activity,http://wordnet-rdf.princeton.edu/wn30/04204347-n
shovel,activity,http://wordnet-rdf.princeton.edu/wn30/04208210-n
shower cap,activity,http://wordnet-rdf.princeton.edu/wn30/04209133-n
shower curtain,activity,http://wordnet-rdf.princeton.edu/wn30/04209239-n
ski,activity,http://wordnet-rdf.princeton.edu/wn30/04228054-n
ski mask,activity,http://wordnet-rdf.princeton.edu/wn30/04229816-n
sleeping bag,activity,http://wordnet-rdf.princeton.edu/wn30/04235860-n
slide rule,activity,http://wordnet-rdf.princeton.edu/wn30/04238763-n
sliding door,activity,http://wordnet-rdf.princeton.edu/wn30/04239074-n
slot machine,activity,http://wordnet-rdf.princeton.edu/wn30/04243546-n
snorkel,activity,http://wordnet-rdf.princeton.edu/wn30/04251144-n
snowmobile,activity,http://wordnet-rdf.princeton.edu/wn30/04252077-n
snowplow,activity,http://wordnet-rdf.princeton.edu/wn30/04252225-n
soap dispenser,activity,http://wordnet-rdf.princeton.edu/wn30/04254120-n
soccer ball,activity,http://wordnet-rdf.princeton.edu/wn30/04254680-n
sock,activity,http://wordnet-rdf.princeton.edu/wn30/04254777-n
solar thermal collector,activity,http://wordnet-rdf.princeton.edu/wn30/04258138-n
sombrero,activity,http://wordnet-rdf.princeton.edu/wn30/04259630-n
soup bowl,activity,http://wordnet-rdf.princeton.edu/wn30/04263257-n
space bar,activity,http://wordnet-rdf.princeton.edu/wn30/04264628-n
space heater,activity,http://wordnet-rdf.princeton.edu/wn30/04265275-n
space shuttle,activity,http://wordnet-rdf.princeton.edu/wn30/04266014-n
spatula,activity,http://wordnet-rdf.princeton.edu/wn30/04270147-n
motorboat,activity,http://wordnet-rdf.princeton.edu/wn30/04273569-n
spider web,activity,http://wordnet-rdf.princeton.edu/wn30/04275548-n
spindle,activity,http://wordnet-rdf.princeton.edu/wn30/04277352-n
sports car,activity,http://wordnet-rdf.princeton.edu/wn30/04285008-n
spotlight,activity,http://wordnet-rdf.princeton.edu/wn30/04286575-n
stage,activity,http://wordnet-rdf.princeton.edu/wn30/04296562-n
steam locomotive,activity,http://wordnet-rdf.princeton.edu/wn30/04310018-n
through arch bridge,activity,http://wordnet-rdf.princeton.edu/wn30/04311004-n
steel drum,activity,http://wordnet-rdf.princeton.edu/wn30/04311174-n
stethoscope,activity,http://wordnet-rdf.princeton.edu/wn30/04317175-n
scarf,activity,http://wordnet-rdf.princeton.edu/wn30/04325704-n
stone wall,location,http://wordnet-rdf.princeton.edu/wn30/04326547-n
stopwatch,activity,http://wordnet-rdf.princeton.edu/wn30/04328186-n
stove,activity,http://wordnet-rdf.princeton.edu/wn30/04330267-n
strainer,activity,http://wordnet-rdf.princeton.edu/wn30/04332243-n
tram,activity,http://wordnet-rdf.princeton.edu/wn30/04335435-n
stretcher,activity,http://wordnet-rdf.princeton.edu/wn30/04336792-n
couch,activity,http://wordnet-rdf.princeton.edu/wn30/04344873-n
stupa,activity,http://wordnet-rdf.princeton.edu/wn30/04346328-n
submarine,location,http://wordnet-rdf.princeton.edu/wn30/04347754-n
suit,activity,http://wordnet-rdf.princeton.edu/wn30/04350905-n
sundial,activity,http://wordnet-rdf.princeton.edu/wn30/04355338-n
sunglass,activity,http://wordnet-rdf.princeton.edu/wn30/04355933-n
sunglasses,activity,http://wordnet-rdf.princeton.edu/wn30/04356056-n
sunscreen,activity,http://wordnet-rdf.princeton.edu/wn30/04357314-n
suspension bridge,activity,http://wordnet-rdf.princeton.edu/wn30/04366367-n
mop,activity,http://wordnet-rdf.princeton.edu/wn30/04367480-n
sweatshirt,activity,http://wordnet-rdf.princeton.edu/wn30/04370456-n
swimsuit,activity,http://wordnet-rdf.princeton.edu/wn30/04371430-n
swing,activity,http://wordnet-rdf.princeton.edu/wn30/04371774-n
switch,activity,http://wordnet-rdf.princeton.edu/wn30/04372370-n
syringe,activity,http://wordnet-rdf.princeton.edu/wn30/04376876-n
table lamp,activity,http://wordnet-rdf.princeton.edu/wn30/04380533-n
tank,activity,http://wordnet-rdf.princeton.edu/wn30/04389033-n
tape player,activity,http://wordnet-rdf.princeton.edu/wn30/04392985-n
teapot,activity,http://wordnet-rdf.princeton.edu/wn30/04398044-n
teddy bear,activity,http://wordnet-rdf.princeton.edu/wn30/04399382-n
television,activity,http://wordnet-rdf.princeton.edu/wn30/04404412-n
tennis ball,activity,http://wordnet-rdf.princeton.edu/wn30/04409515-n
thatched roof,activity,http://wordnet-rdf.princeton.edu/wn30/04417672-n
front curtain,activity,http://wordnet-rdf.princeton.edu/wn30/04418357-n
thimble,activity,http://wordnet-rdf.princeton.edu/wn30/04423845-n
threshing machine,activity,http://wordnet-rdf.princeton.edu/wn30/04428191-n
throne,activity,http://wordnet-rdf.princeton.edu/wn30/04429376-n
tile roof,activity,http://wordnet-rdf.princeton.edu/wn30/04435653-n
toaster,activity,http://wordnet-rdf.princeton.edu/wn30/04442312-n
tobacco shop,activity,http://wordnet-rdf.princeton.edu/wn30/04443257-n
toilet seat,activity,http://wordnet-rdf.princeton.edu/wn30/04447861-n
torch,activity,http://wordnet-rdf.princeton.edu/wn30/04456115-n
totem pole,activity,http://wordnet-rdf.princeton.edu/wn30/04458633-n
tow truck,activity,http://wordnet-rdf.princeton.edu/wn30/04461696-n
toy store,activity,http://wordnet-rdf.princeton.edu/wn30/04462240-n
tractor,activity,http://wordnet-rdf.princeton.edu/wn30/04465501-n
semi-trailer truck,activity,http://wordnet-rdf.princeton.edu/wn30/04467665-n
tray,activity,http://wordnet-rdf.princeton.edu/wn30/04476259-n
trench coat,activity,http://wordnet-rdf.princeton.edu/wn30/04479046-n
tricycle,activity,http://wordnet-rdf.princeton.edu/wn30/04482393-n
trimaran,activity,http://wordnet-rdf.princeton.edu/wn30/04483307-n
tripod,activity,http://wordnet-rdf.princeton.edu/wn30/04485082-n
triumphal arch,activity,http://wordnet-rdf.princeton.edu/wn30/04486054-n
trolleybus,activity,http://wordnet-rdf.princeton.edu/wn30/04487081-n
trombone,activity,http://wordnet-rdf.princeton.edu/wn30/04487394-n
tub,activity,http://wordnet-rdf.princeton.edu/wn30/04493381-n
turnstile,activity,http://wordnet-rdf.princeton.edu/wn30/04501370-n
typewriter keyboard,activity,http://wordnet-rdf.princeton.edu/wn30/04505470-n
umbrella,activity,http://wordnet-rdf.princeton.edu/wn30/04507155-n
unicycle,activity,http://wordnet-rdf.princeton.edu/wn30/04509417-n
upright piano,activity,http://wordnet-rdf.princeton.edu/wn30/04515003-n
vacuum cleaner,activity,http://wordnet-rdf.princeton.edu/wn30/04517823-n
vase,activity,http://wordnet-rdf.princeton.edu/wn30/04522168-n
vault,activity,http://wordnet-rdf.princeton.edu/wn30/04523525-n
velvet,activity,http://wordnet-rdf.princeton.edu/wn30/04525038-n
vending machine,activity,http://wordnet-rdf.princeton.edu/wn30/04525305-n
vestment,activity,http://wordnet-rdf.princeton.edu/wn30/04532106-n
viaduct,activity,http://wordnet-rdf.princeton.edu/wn30/04532670-n
violin,activity,http://wordnet-rdf.princeton.edu/wn30/04536866-n
volleyball,activity,http://wordnet-rdf.princeton.edu/wn30/04540053-n
waffle iron,activity,http://wordnet-rdf.princeton.edu/wn30/04542943-n
wall clock,activity,http://wordnet-rdf.princeton.edu/wn30/04548280-n
wallet,activity,http://wordnet-rdf.princeton.edu/wn30/04548362-n
wardrobe,activity,http://wordnet-rdf.princeton.edu/wn30/04550184-n
military aircraft,activity,http://wordnet-rdf.princeton.edu/wn30/04552348-n
sink,activity,http://wordnet-rdf.princeton.edu/wn30/04553703-n
washing machine,activity,http://wordnet-rdf.princeton.edu/wn30/04554684-n
water bottle,activity,http://wordnet-rdf.princeton.edu/wn30/04557648-n
water jug,activity,http://wordnet-rdf.princeton.edu/wn30/04560804-n
water tower,activity,http://wordnet-rdf.princeton.edu/wn30/04562935-n
whiskey jug,activity,http://wordnet-rdf.princeton.edu/wn30/04579145-n
whistle,activity,http://wordnet-rdf.princeton.edu/wn30/04579432-n
wig,activity,http://wordnet-rdf.princeton.edu/wn30/04584207-n
window screen,activity,http://wordnet-rdf.princeton.edu/wn30/04589890-n
window shade,activity,http://wordnet-rdf.princeton.edu/wn30/04590129-n
Windsor tie,activity,http://wordnet-rdf.princeton.edu/wn30/04591157-n
wine bottle,activity,http://wordnet-rdf.princeton.edu/wn30/04591713-n
wing,activity,http://wordnet-rdf.princeton.edu/wn30/04592741-n
wok,activity,http://wordnet-rdf.princeton.edu/wn30/04596742-n
wooden spoon,activity,http://wordnet-rdf.princeton.edu/wn30/04597913-n
wool,activity,http://wordnet-rdf.princeton.edu/wn30/04599235-n
split-rail fence,activity,http://wordnet-rdf.princeton.edu/wn30/04604644-n
shipwreck,location,http://wordnet-rdf.princeton.edu/wn30/04606251-n
yawl,activity,http://wordnet-rdf.princeton.edu/wn30/04612504-n
yurt,activity,http://wordnet-rdf.princeton.edu/wn30/04613696-n
website,location,http://wordnet-rdf.princeton.edu/wn30/06359193-n
comic book,activity,http://wordnet-rdf.princeton.edu/wn30/06596364-n
crossword,activity,http://wordnet-rdf.princeton.edu/wn30/06785654-n
traffic sign,activity,http://wordnet-rdf.princeton.edu/wn30/06794110-n
traffic light,activity,http://wordnet-rdf.princeton.edu/wn30/06874185-n
dust jacket,activity,http://wordnet-rdf.princeton.edu/wn30/07248320-n
menu,activity,http://wordnet-rdf.princeton.edu/wn30/07565083-n
plate,activity,http://wordnet-rdf.princeton.edu/wn30/07579787-n
guacamole,activity,http://wordnet-rdf.princeton.edu/wn30/07583066-n
consomme,activity,http://wordnet-rdf.princeton.edu/wn30/07584110-n
hot pot,activity,http://wordnet-rdf.princeton.edu/wn30/07590611-n
trifle,activity,http://wordnet-rdf.princeton.edu/wn30/07613480-n
ice cream,activity,http://wordnet-rdf.princeton.edu/wn30/07614500-n
ice pop,activity,http://wordnet-rdf.princeton.edu/wn30/07615774-n
baguette,activity,http://wordnet-rdf.princeton.edu/wn30/07684084-n
bagel,activity,http://wordnet-rdf.princeton.edu/wn30/07693725-n
pretzel,activity,http://wordnet-rdf.princeton.edu/wn30/07695742-n
cheeseburger,activity,http://wordnet-rdf.princeton.edu/wn30/07697313-n
hot dog,activity,http://wordnet-rdf.princeton.edu/wn30/07697537-n
mashed potato,activity,http://wordnet-rdf.princeton.edu/wn30/07711569-n
cabbage,activity,http://wordnet-rdf.princeton.edu/wn30/07714571-n
broccoli,activity,http://wordnet-rdf.princeton.edu/wn30/07714990-n
cauliflower,activity,http://wordnet-rdf.princeton.edu/wn30/07715103-n
zucchini,activity,http://wordnet-rdf.princeton.edu/wn30/07716358-n
spaghetti squash,activity,http://wordnet-rdf.princeton.edu/wn30/07716906-n
acorn squash,activity,http://wordnet-rdf.princeton.edu/wn30/07717410-n
butternut squash,activity,http://wordnet-rdf.princeton.edu/wn30/07717556-n
cucumber,activity,http://wordnet-rdf.princeton.edu/wn30/07718472-n
artichoke,activity,http://wordnet-rdf.princeton.edu/wn30/07718747-n
bell pepper,activity,http://wordnet-rdf.princeton.edu/wn30/07720875-n
cardoon,activity,http://wordnet-rdf.princeton.edu/wn30/07730033-n
mushroom,activity,http://wordnet-rdf.princeton.edu/wn30/07734744-n
Granny Smith,activity,http://wordnet-rdf.princeton.edu/wn30/07742313-n
strawberry,activity,http://wordnet-rdf.princeton.edu/wn30/07745940-n
orange,activity,http://wordnet-rdf.princeton.edu/wn30/07747607-n
lemon,activity,http://wordnet-rdf.princeton.edu/wn30/07749582-n
fig,activity,http://wordnet-rdf.princeton.edu/wn30/07753113-n
pineapple,activity,http://wordnet-rdf.princeton.edu/wn30/07753275-n
banana,activity,http://wordnet-rdf.princeton.edu/wn30/07753592-n
jackfruit,activity,http://wordnet-rdf.princeton.edu/wn30/07754684-n
custard apple,activity,http://wordnet-rdf.princeton.edu/wn30/07760859-n
pomegranate,activity,http://wordnet-rdf.princeton.edu/wn30/07768694-n
hay,activity,http://wordnet-rdf.princeton.edu/wn30/07802026-n
carbonara,activity,http://wordnet-rdf.princeton.edu/wn30/07831146-n
chocolate syrup,activity,http://wordnet-rdf.princeton.edu/wn30/07836838-n
dough,activity,http://wordnet-rdf.princeton.edu/wn30/07860988-n
meatloaf,activity,http://wordnet-rdf.princeton.edu/wn30/07871810-n
pizza,activity,http://wordnet-rdf.princeton.edu/wn30/07873807-n
pot pie,activity,http://wordnet-rdf.princeton.edu/wn30/07875152-n
burrito,activity,http://wordnet-rdf.princeton.edu/wn30/07880968-n
red wine,activity,http://wordnet-rdf.princeton.edu/wn30/07892512-n
espresso,activity,http://wordnet-rdf.princeton.edu/wn30/07920052-n
cup,activity,http://wordnet-rdf.princeton.edu/wn30/07930864-n
eggnog,activity,http://wordnet-rdf.princeton.edu/wn30/07932039-n
alp,activity,http://wordnet-rdf.princeton.edu/wn30/09193705-n
bubble,activity,http://wordnet-rdf.princeton.edu/wn30/09229709-n
cliff,activity,http://wordnet-rdf.princeton.edu/wn30/09246464-n
coral reef,activity,http://wordnet-rdf.princeton.edu/wn30/09256479-n
geyser,activity,http://wordnet-rdf.princeton.edu/wn30/09288635-n
lakeshore,activity,http://wordnet-rdf.princeton.edu/wn30/09332890-n
promontory,activity,http://wordnet-rdf.princeton.edu/wn30/09399592-n
shoal,activity,http://wordnet-rdf.princeton.edu/wn30/09421951-n
seashore,activity,http://wordnet-rdf.princeton.edu/wn30/09428293-n
valley,activity,http://wordnet-rdf.princeton.edu/wn30/09468604-n
volcano,activity,http://wordnet-rdf.princeton.edu/wn30/09472597-n
baseball player,activity,http://wordnet-rdf.princeton.edu/wn30/09835506-n
bridegroom,activity,http://wordnet-rdf.princeton.edu/wn30/10148035-n
scuba diver,activity,http://wordnet-rdf.princeton.edu/wn30/10565667-n
rapeseed,activity,http://wordnet-rdf.princeton.edu/wn30/11879895-n
daisy,activity,http://wordnet-rdf.princeton.edu/wn30/11939491-n
yellow lady's slipper,activity,http://wordnet-rdf.princeton.edu/wn30/12057211-n
corn,activity,http://wordnet-rdf.princeton.edu/wn30/12144580-n
acorn,activity,http://wordnet-rdf.princeton.edu/wn30/12267677-n
rose hip,activity,http://wordnet-rdf.princeton.edu/wn30/12620546-n
horse chestnut seed,activity,http://wordnet-rdf.princeton.edu/wn30/12768682-n
coral fungus,activity,http://wordnet-rdf.princeton.edu/wn30/12985857-n
agaric,activity,http://wordnet-rdf.princeton.edu/wn30/12998815-n
gyromitra,activity,http://wordnet-rdf.princeton.edu/wn30/13037406-n
stinkhorn mushroom,activity,http://wordnet-rdf.princeton.edu/wn30/13040303-n
earth star,activity,http://wordnet-rdf.princeton.edu/wn30/13044778-n
hen-of-the-woods,activity,http://wordnet-rdf.princeton.edu/wn30/13052670-n
bolete,activity,http://wordnet-rdf.princeton.edu/wn30/13054560-n
ear,activity,http://wordnet-rdf.princeton.edu/wn30/13133613-n
toilet paper,activity,http://wordnet-rdf.princeton.edu/wn30/15075141-n